about;около
manufacturing;производство
university;университет
worried;волновался
martin;мартин
vapor;пар
wrapped;завернутый
mathematics;математика
vessels;суд
writer;писатель
melted;плавленый
wealth;богатство
acres;акра
memory;память
wolf;волк
adult;для взрослых
mill;мельница
zoo;зоопарк
advice;совет
mission;миссия
arrangement;договоренность
monkey;обезьяна
attempt;попытка
mount;гора
august;августейший
mysterious;загадочный
autumn;осень
neighborhood;окрестности
border;граница
norway;норвегия
breeze;ветер
nuts;орешки
brick;кирпич
occasionally;время от времени
calm;спокойный
official;официальный
canal;канал
ourselves;сами
casey;casey
palace;дворец
cast;бросать
pennsylvania;пенсильвания
chose;выбрал
philadelphia;филадельфия
claws;когти
plates;тарелки
coach;тренер
poetry;поэзия
constantly;постоянно
policeman;полицейский
contrast;контрастировать
positive;положительный
cookies;печенье
possibly;возможно
customs;обычаи
practical;практическое
damage;наносить ущерб
pride;гордость
danny;дэнни
promised;обещанный
deeply;глубоко
recall;отзыв
depth;глубина
relationship;отношения
discussion;обсуждение
remarkable;замечательный
doll;кукла
require;требовать
donkey;осел
rhyme;рифма
egypt;египет
rocky;скалистый
ellen;эллен
rubbed;втирать
essential;существенный
rush;порыв
exchange;обмен
sale;продажа
exist;существовать
satellites;спутники
explanation;объяснение
satisfied;доволен
facing;облицовочный
scared;испуганный
film;фильм
selection;выбор
finest;лучшие
shake;встряхивать
fireplace;камин
shaking;сотрясение
floating;плавающий
shallow;мелкий
